OBJECTID,id_no,species,decimalLatitude,decimalLongitude
6,2188,Astacoides betsileoensis,-20.99023025,47.17326304
5,2187,Astacoides caldwelli,-19.12000908,47.57822655
2,2184,Astacoides crosnieri,-21.61473515,47.3599912
4,2186,Astacoides granulimanus,-21.47988443,47.17326304
172,153654,Astacoides hobbsi,-20.62533472,47.55823647
1,2183,Astacoides madagascarensis,-18.68919873,47.95308845
3,2185,Astacoides petiti,-24.89630171,46.840625
191,153687,Astacopsis franklinii,-42.0340768,147.2624419
7,2190,Astacopsis gouldi,-41.48436528,146.3358178
163,153640,Astacopsis tricornis,-43.24404971,146.630054
8,2191,Astacus astacus,49.31759035,16.48333333
9,2191,Astacus astacus,31.85578092,-5.553338909
10,2430,Austropotamobius pallipes,46.62036716,7.424999999
11,2430,Austropotamobius pallipes,53.53242507,-7.720862956
12,2431,Austropotamobius torrentium,49.79778316,6.159524386
13,2431,Austropotamobius torrentium,44.55123838,17.13541667
462,153972,Barbicambarus cornutus,37.63811736,-86.02264922
518,154024,Bouchardina robisoni,33.33443892,-92.68646825
306,153825,Cambarellus alvarezi,25.56490573,-100.8488134
208,153712,Cambarellus areolatus,25.51846444,-102.1279341
14,3669,Cambarellus blacki,30.77211871,-87.49316805
203,153705,Cambarellus chapalanus,20.12509865,-102.825
148,153621,Cambarellus chihuahuae,30.59290132,-106.6083333
15,3670,Cambarellus diminutus,31.55504158,-88.69950386
16,3671,Cambarellus lesliei,31.69143415,-88.14574613
297,153816,Cambarellus montezumae,20.53948855,-101.3250805
159,153635,Cambarellus ninae,28.64602594,-97.56280057
181,153667,Cambarellus occidentalis,22.99880166,-104.8437034
282,153802,Cambarellus patzcuarensis,19.59041895,-101.6456446
210,153714,Cambarellus prolixus,20.1902771,-103.0519051
420,153931,Cambarellus puer,33.18320705,-92.31678067
322,153836,Cambarellus schmitti,29.98849548,-83.36458333
499,154008,Cambarellus shufeldtii,32.71556929,-83.40867484
500,154008,Cambarellus shufeldtii,33.27531992,-92.28223304
152,153628,Cambarellus texanus,30.0608093,-96.43567408
296,153815,Cambarellus zempoalensis,18.89929252,-99.20182141
166,153643,Cambaroides dauricus,47.85112367,123.7823112
234,153751,Cambaroides japonicus,43.39785307,142.5726396
236,153753,Cambaroides schrenckii,47.20300874,135.0769458
