species,family,moved.to.max.data,n,body.size.avg,body.size.min,body.size.max,body.size.metric,carapace.length.to.total.body.length.conversion,max.of.cl.and.total.length,tmean.avg,habitat.category,citation,title,notes
Faxonius_limosus,cambaridae,yes,,,,108.2,total.body.length,108.2,108.2,-1.565666626,Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Pacifastacus_gambelii,astacidae,yes,,,,50.9,carapace.length,102.309,102.309,0.362333308,Aquatic,"Egly & Larson, 2018","Distribution, habitat associations, and conservation status updates for the pilose crayfish Pacifastacus gambelii (Girard, 1852) and Snake River pilose crayfish Pacifastacus connectens (Faxon, 1914) of the western United States",
Cambaroides_schrenckii,cambaroididae,,,,,58.1,carapace.length,116.2,116.2,0.733666698,Aquatic,Kawai et al. 2013,Taxonomic Re-Examination of Cambaroides (Decapoda: Cambaridae) With a Re-Description of C. Schrenckii From Sakhalin Island Russia and Phylogenetic Discussion of The Asian Cambarids Based On Morphological Characteristics ,probably CL.AL data here
Pacifastacus_leniusculus,astacidae,yes,,,,207,total.body.length,207,207,0.770666768,Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Faxonius_immunis,cambaridae,yes,,,,102.9,total.body.length,102.9,102.9,1.18066671,Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Faxonius_propinquus,cambaridae,yes,,26.1,16.1,36.1,carapace.length,71.117,71.117,1.551333502,Aquatic,Van Deventer W.C. 1937,"Studies on the biology of the crayfish, Cambarus propinquus Girard",
Faxonius_virilis,cambaridae,yes,5,42.6,35.5,49.7,carapace.length,97.909,97.909,1.883333306,Aquatic,Page 1985,The crayfishes of Illinois,
Cambaroides_dauricus,cambaroididae,,,,,30.9,carapace.length,61.8,61.8,2.846333504,Aquatic,Kawai et al. 2010,Reassessment of cambaroides dauricus and C. schrenckii (Crustacea: Decapoda: Cambaridae),probably CL.AL data here
Cambaroides_japonicus,cambaroididae,yes,30,18.41,14.22,23.78,carapace.length,47.56,47.56,3.58633332,Aquatic,Nakata and Goshima 2004,"Fecundity of the Japanese crayfish, Cambaroides japonicus: ovary formation, egg number and egg size",
Austropotamobius_pallipes,astacidae,yes,,36,25,47,carapace.length,93.06,93.06,3.676000024,Aquatic,Pratten 1980,"Growth in the crayfish, Austropotamobius pallipes (Crustacea: Astacidae). Freshwater Bio",
Astacus_leptodactylus,astacidae,yes,,59.5,42,77,carapace.length,157.465,157.465,4.790666521,Aquatic,Stypinska 1978,Individual variabilities in absolute fertility of crayfish occurring in the waters of the Mazurian lake district,
Paranephrops_zealandicus,parastacidae,yes,,,,75.3,carapace.length,145.329,145.329,6.487666757,Aquatic,"Whitmore, 1997",Population Ecology of the Freshwater Crayfish Paranephrops zealandicus and its Effect on the Community Structure of a Lowland Bush Stream,
Pacifastacus_connectens,astacidae,yes,,,,40.8,carapace.length,82.008,82.008,7.666999986,Aquatic,"Egly & Larson, 2018","Distribution, habitat associations, and conservation status updates for the pilose crayfish Pacifastacus gambelii (Girard, 1852) and Snake River pilose crayfish Pacifastacus connectens (Faxon, 1914) of the western United States",
Pacifastacus_fortis,astacidae,yes,,,,101,total.body.length,101,101,8.45433339,Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Faxonius_obscurus,cambaridae,yes,,,,59.1,total.body.length,59.1,59.1,8.555333237,Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Astacus_astacus,astacidae,yes,,52.5,40,65,carapace.length,132.925,132.925,8.590000036,Aquatic,"Kossakowski 1964, 1967",Co-occurrence of the crayfish Astacus astacus (L.) and Astacus leptodactylus (Esch.) in Lake£ oby–Roczn,
Astacopsis_tricornis,parastacidae,yes,,,,316.4,total.body.length,316.4,316.4,8.777999957,Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Cambaroides_similis,cambaroididae,,,,,29.03,carapace.length,58.06,58.06,8.89533331,Aquatic,Yuen et al. 1992,The Growth Analysis of the Crawfish (Cambaroides similis Koelbel) (Crustacea) 2. Relative Growth,probably CL.AL data here
Austropotamobius_torrentium,astacidae,yes,25,33.25,22,44.5,carapace.length,88.11,88.11,9.3163333,Aquatic,Huber and Schubart 2005,Distribution and reproductive biology of Austropotamobius torrentium in Bavaria and documentation of a contact zone with the alien crayfish Pacifastacus leniusculus,
Faxonius_rusticus,cambaridae,yes,,,,106,total.body.length,106,106,9.738333325,Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Faxonius_quinebaugensis,cambaridae,,,,,42.1,carapace.length,82.937,82.937,9.815333476,Aquatic,Matthews and Warren 2008,"A new crayfish of the genus Orconectes Cope, 1872 from southern New England (Crustacea: Decapoda: Cambaridae)",
Cambarus_sciotensis,cambaridae,yes,,,,105,total.body.length,105,105,10.2973335,Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Cambarus_chasmodactylus,cambaridae,yes,21,44.6,,44.6,carapace.length,89.2,89.2,10.4866667,Aquatic,loughman unpublished data,loughman unpublished data,
Cambarus_elkensis,cambaridae,yes,,,,78.6,total.body.length,78.6,78.6,10.63733356,Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Astacopsis_gouldi,parastacidae,yes,,,,800,total.body.length,800,800,10.70233337,Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Paranephrops_planifrons,parastacidae,yes,,,,172.3,total.body.length,172.3,172.3,10.82666679,Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Astacopsis_franklinii,parastacidae,yes,23,45.27,39,52,carapace.length,103.48,103.48,10.98533336,Aquatic,"Hamr, 1990","Comparative reproductive biology of the Tasmanian freshwater crayfishes Astacopsis gouldi Clark, Astacopsis franklinii Gray and Parastacoides tasmanicus Clark (Decapoda: Parastacidae",
Cambarus_tuckasegee,cambaridae,yes,,,,78,total.body.length,78,78,11.2253334,Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Faxonius_sanbornii,cambaridae,yes,,,,85,total.body.length,85,85,11.5916665,Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Euastacus_simplex,parastacidae,yes,,,,116.5,total.body.length,116.5,116.5,11.93266658,Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Faxonius_cristavarius,cambaridae,yes,,,,84,total.body.length,84,84,11.95133333,Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Cambarus_buntingi,cambaridae,yes,,,,100.7,total.body.length,100.7,100.7,12.1836665,Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Euastacus_kershawi,parastacidae,yes,,,,354.1,total.body.length,354.1,354.1,12.23100015,Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Cambarus_graysoni,cambaridae,yes,,,,126.8,total.body.length,126.8,126.8,12.23166659,Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Cambarus_veteranus,cambaridae,yes,,,,96.4,total.body.length,96.4,96.4,12.29133326,Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Cambarus_parrishi,cambaridae,yes,3,28.43,26.7,30.2,carapace.length,60.4,60.4,12.45900007,Aquatic,"Hobbs, 1981",The Crayfishes of Georgia,
Cambarus_obeyensis,cambaridae,,,,,31.5,carapace.length,63,63,12.5976668,Aquatic,Hobbs and Shoup 1947,"Two New Crayfishes (Decapoda, Astacidae) from the obey river drainage in tennessee",
Faxonius_hylas,cambaridae,yes,,,,66,total.body.length,66,66,12.62300014,Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Cambarus_chaugaensis,cambaridae,yes,,,,62.3,total.body.length,62.3,62.3,12.62433344,Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Faxonius_harrisonii,cambaridae,yes,,,,61,total.body.length,61,61,12.62666652,Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Cambarus_reburrus,cambaridae,yes,1,26,,26,carapace.length,52,52,12.70433331,Aquatic,"Cooper, 2002","NORTH CAROLINA CRAYFISHES (DECAPODA: CAMBARIDAE): NOTES ON DISTRIBUTION, TAXONOMY, LIFE HISTORY, AND HABITAT",
Cambarus_brimleyorum,cambaridae,yes,1,34.1,,34.1,carapace.length,68.2,68.2,12.71666672,Aquatic,"Cooper, 2006","A new crayfish of the genus Cambarus Erichson, 1846, subgenus  Puncticambarus Hobbs, 1969 (Decapoda: Cambaridae), from the Hiwassee River basin of North Carolina",
Cambarus_maculatus,cambaridae,yes,27,32.31,26.88,38.41,carapace.length,76.82,76.82,12.72300015,Aquatic,Distefano 2016,"LIFE HISTORY OF THE VULNERABLE ENDEMIC CRAYFISH CAMBARUS (EREBICAMBARUS) MACULATUS HOBBS AND PFLIEGER, 1988 (DECAPODA: ASTACOIDEA: CAMBARIDAE) IN MISSOURI, USA",
Faxonius_medius,cambaridae,yes,,,,66,total.body.length,66,66,12.72300015,Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Cambarus_bouchardi,cambaridae,yes,,,,80.6,total.body.length,80.6,80.6,12.78400022,Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Faxonius_juvenilis,cambaridae,yes,,,,81.5,total.body.length,81.5,81.5,12.79266647,Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Cambarus_conasaugensis,cambaridae,yes,3,33.97,28.4,32.4,carapace.length,64.8,64.8,12.91166689,Aquatic,"Hobbs, 1981",The Crayfishes of Georgia,
Cambarus_pristinus,cambaridae,,,,,32.3,carapace.length,64.6,64.6,12.94166656,Aquatic,Hobbs 1965,"A NEW CRAYFISH OF THE GENUS CAMBARUS FROM TENNESSEE WITH AN EMENDED DEFINITION OF THE GENUS (DECAPODA, ASTACIDAE)",
Gramastacus_insolitus,parastacidae,yes,,,,40,total.body.length,40,40,12.96099993,Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Cambarus_crinipes,cambaridae,,,,,37.1,carapace.length,74.2,74.2,12.96433348,Aquatic,Bouchard 1973,"A new crayfish of the subgenus Jugicambarus from Tennessee with an emended definition of the subgenus (Astacidae, Decapoda)",
Cambarus_georgiae,cambaridae,yes,1,24.6,,24.6,carapace.length,49.2,49.2,12.99900001,Aquatic,"Hobbs, 1981",The Crayfishes of Georgia,
Faxonius_jeffersoni,cambaridae,yes,,,,75.7,total.body.length,75.7,75.7,13.0356667,Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Faxonius_bisectus,cambaridae,yes,,,,75.7,total.body.length,75.7,75.7,13.09733324,Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Faxonius_kentuckiensis,cambaridae,yes,,,,87,total.body.length,87,87,13.09966671,Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Faxonius_stannardi,cambaridae,yes,2,24.8,20.7,28.9,carapace.length,56.933,56.933,13.09966671,Aquatic,Page 1985,The crayfishes and shrimps of illinois,
Barbicambarus_cornutus,cambaridae,yes,,,,135.5,total.body.length,135.5,135.5,13.11766668,Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Faxonius_illinoiensis,cambaridae,yes,3,26.3,21.5,31.3,carapace.length,61.661,61.661,13.14999995,Aquatic,Page 1985,The crayfishes and shrimps of illinois,
Faxonius_luteus,cambaridae,yes,,,,86.4,total.body.length,86.4,86.4,13.18133309,Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Faxonius_rafinesquei,cambaridae,yes,,,,73,total.body.length,73,73,13.21833352,Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Cambarus_tenebrosus,cambaridae,yes,,,,119.1,total.body.length,119.1,119.1,13.22933324,Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Faxonius_indianensis,cambaridae,yes,3,28.7,26.3,32.2,carapace.length,63.434,63.434,13.25233343,Aquatic,Page 1985,The crayfishes and shrimps of illinois,
Cambarus_longirostris,cambaridae,yes,3,24.46,20,22.6,carapace.length,45.2,45.2,13.39766651,Aquatic,"Hobbs, 1981",The Crayfishes of Georgia,
Cambarus_hiwasseensis,cambaridae,yes,1,30.1,,30.1,carapace.length,60.2,60.2,13.39799992,Aquatic,"Hobbs, 1981",The Crayfishes of Georgia,
Faxonius_meeki_meeki,cambaridae,yes,,,,51,total.body.length,51,51,13.44300013,Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Faxonius_quadruncus,cambaridae,yes,34,21.3,15.2,31.6,carapace.length,62.252,62.252,13.51066655,Aquatic,Mabery 2017,"Comparative Fecundity of the Imperiled Crayfish Faxonius quadruncus Creaser and Invasive Crayfish Faxonius hylas (Faxon) in the St. Francis River Drainage of Missouri, USA",
Faxonius_punctimanus,cambaridae,yes,,,,111.7,total.body.length,111.7,111.7,13.53466666,Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Faxonius_ronaldi,cambaridae,yes,,,,74,total.body.length,74,74,13.6139999,Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Cambarus_asperimanus,cambaridae,,,,,27,carapace.length,54,54,13.64700003,Aquatic,Faxon 1914,Notes on the crayfishes,
Cambarus_rusticiformis,cambaridae,yes,,,,84.5,total.body.length,84.5,84.5,13.6550001,Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Faxonius_barrenensis,cambaridae,yes,,,,62,total.body.length,62,62,13.65800007,Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Faxonius_forceps,cambaridae,,,,,39.5,carapace.length,77.815,77.815,13.69900008,Aquatic,Schuster et al. 2022,The Crayfishes of Alabama,
Faxonius_williamsi,cambaridae,yes,10,21.5,17.5,25.7,carapace.length,50.629,50.629,13.73366679,Aquatic,"Di Stefano, Robert J. Black, Tyler R. Herleth-King, Shawna S. Kanno, Yoichiro Mattingly, Hayden T. 2014","Life histories of two populations of the imperiled crayfish Faxonius (Procericambarus) Williamsi (Decapoda: Cambaridae) in Southwestern Missouri, U.S.A.",
Faxonius_margorectus,cambaridae,yes,,,,83,total.body.length,83,83,13.79933331,Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Faxonius_tricuspis,cambaridae,yes,,,,83,total.body.length,83,83,13.82199994,Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Cambarus_cumberlandensis,cambaridae,yes,,,,112.5,total.body.length,112.5,112.5,13.83499989,Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Cambarus_hubbsi,cambaridae,yes,,,,91.4,total.body.length,91.4,91.4,13.86266686,Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Cambarus_brachydactylus,cambaridae,,,,,20.3,carapace.length,40.6,40.6,13.87066671,Aquatic,Hobbs 1953,"Two New Crayfishes from the Highland Rim in Tennessee (Decapoda, Astacidae)",
Faxonius_ozarkae,cambaridae,yes,,,,86.4,total.body.length,86.4,86.4,13.87733353,Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Faxonius_putnami,cambaridae,yes,,,,90.7,total.body.length,90.7,90.7,13.88533357,Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Cambarus_distans,cambaridae,yes,,,,83.2,total.body.length,83.2,83.2,13.89399989,Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
