species,family,moved.to.max.data,n,body.size.avg,body.size.min,body.size.max,body.size.metric,carapace.length.to.total.body.length.conversion,max.of.cl.and.total.length,tmean.avg,habitat.category,citation,title,notes
Cambarus_nerterius,cambaridae,yes,,,,106.5,total.body.length,106.5,106.5,9.230999846,Cave,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Orconectes_inermis,cambaridae,yes,17,19.32,16.35,26.21,carapace.length,50.3232,50.3232,12.17033333,Cave,"DiStefano R.J., J. Young and D.B. Noltie 2002",A study of the life history of Faxonius hylas with comparisons to Faxonius peruncus and Faxonius quadruncus in Ozark streams,
Orconectes_inermis_inermis,cambaridae,yes,,,,79,total.body.length,79,79,12.17033333,Cave,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Orconectes_barri,cambaridae,yes,,,,16.2,carapace.length,31.104,31.104,12.74766669,Cave,"Buhay & Crandall, 2008","Taxonomic Revision of Cave Crayfishes in the Genus Orconectes, Subgenus Orconectes (Decapoda: Cambaridae) along the Cumberland Plateau, Including a Description of a New Species, Orconectes Barri",
Orconectes_packardi,cambaridae,yes,,,,30,carapace.length,57.6,57.6,13.04199995,Cave,"Hobbs, 1972","Origins and affinities of the troglo- bitic crayfishes of North America (Decapoda: Astacidae). II. Genus Orconectes. Smithsonian Contributions to Zoology, 105: 1–84.",
Cambarus_hubrichti,cambaridae,yes,,,,71.1,total.body.length,71.1,71.1,13.19166658,Cave,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Cambarus_setosus,cambaridae,,,,,40.5,carapace.length,81,81,13.22766662,Cave,Hobbs et al. 1977,A review of the troglobitic decapod crustaceans of the Americas,
Cambarus_tartarus,cambaridae,yes,,,,62.3,total.body.length,62.3,62.3,13.63633329,Cave,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Orconectes_stygocaneyi,cambaridae,yes,,,,98,total.body.length,98,98,13.74499996,Cave,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Orconectes_pellucidus,cambaridae,yes,,,,86,total.body.length,86,86,13.88100006,Cave,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
