species,family,moved.to.max.data,n,body.size.avg,body.size.min,body.size.max,body.size.metric,carapace.length.to.total.body.length.conversion,max.of.cl.and.total.length,tmean.avg,habitat.category,citation,title,notes
Ombrastacoides_pulcher,parastacidae,yes,,,,42,total.body.length,42,42,7.008333306,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Ombrastacoides_leptomerus,parastacidae,yes,,,,70,total.body.length,70,70,8.363666614,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Ombrastacoides_denisoni,parastacidae,yes,,,,67.8,total.body.length,67.8,67.8,8.777999957,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Cambarus_monongalensis,cambaridae,yes,1,36.6,,36.6,carapace.length,73.2,73.2,9.076333379,Semi-terrestrial,Jezernic 1995,The crayfishes of west virginia,
Procambarus_gracilis,cambaridae,yes,,,,71.1,total.body.length,71.1,71.1,9.296333452,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Ombrastacoides_dissitus,parastacidae,yes,,,,47,total.body.length,47,47,9.29733336,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Virilastacus_araucanius,parastacidae,yes,,,,60,total.body.length,60,60,9.404000123,Semi-terrestrial,"JARA, C. G., B. RUDOLPH & B. GONZÁLEZ, 2006. ","Estado de conocimiento de los malacostráceos dulceacuícolas de Chile. Gayana, 70: 40-49",
Ombrastacoides_decemdentatus,parastacidae,yes,,34,,34,post.orbital.carapace.length,69.52385542,69.52385542,9.600666682,Semi-terrestrial,"Alastair Richardson, Unpublished Data",NA,
Spinastacoides_inermis,parastacidae,yes,8,22.85,17.03,26,carapace.length,48.1,48.1,9.964999954,Semi-terrestrial,"Hamr, 1990","Comparative reproductive biology of the Tasmanian freshwater crayfishes Astacopsis gouldi Clark, Astacopsis franklinii Gray and Parastacoides tasmanicus Clark (Decapoda: Parastacidae",
Engaeus_orientalis,parastacidae,yes,,,,51.3,total.body.length,51.3,51.3,10.13733339,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Lacunicambarus_polychromatus,cambaridae,yes,,,,114.8,total.body.length,114.8,114.8,10.28966668,Semi-terrestrial,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
