species,family,moved.to.max.data,n,body.size.avg,body.size.min,body.size.max,body.size.metric,carapace.length.to.total.body.length.conversion,max.of.cl.and.total.length,tmean.avg,habitat.category,citation,title,notes
Cambarus_bartonii,cambaridae,yes,12,25.89,24,34.02,carapace.length,68.04,68.04,4.045333179,Semi-terrestrial/Aquatic,Hamr P. and Berrill M. 1985,The life histories of north-temperate populations of the crayfish Cambarus robustus and Cambarus bartoni,
Engaeus_laevis,parastacidae,yes,,,,46.6,total.body.length,46.6,46.6,9.057000081,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Engaeus_curvisuturus,parastacidae,yes,,,,53.6,total.body.length,53.6,53.6,9.626666665,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Cambarus_carinirostris,cambaridae,,,,,39.4,carapace.length,78.8,78.8,9.872333395,Semi-terrestrial/Aquatic,Loughman and Simon 2011,"Zoogeography, taxonomy, and conservation of West Virginia's Ohio River floodplain crayfishes (Decapoda, Cambaridae)",
Procambarus_acutus,cambaridae,yes,42,108.59,87.05,133.12,total.body.length,133.12,133.12,10.16133342,Semi-terrestrial/Aquatic,Mazlum Y. and A.G. Eversole 2004,Observations on the life cycle of Procambarus acutus acutus in South Carolina culture ponds,
Cambarus_ortmanni,cambaridae,yes,,,,103.4,total.body.length,103.4,103.4,10.72866663,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Virilastacus_retamali,parastacidae,yes,,,,30,carapace.length,53.7,53.7,11.15066659,Semi-terrestrial/Aquatic,Rudolph and Crandall 2007,A New Species of Burrowing Crayfish Virilastacus Retamali (Decapoda: Parastacidae) from the Southern Chile Peatland,
Cambarus_parvoculus,cambaridae,yes,,,,60.7,total.body.length,60.7,60.7,12.23566677,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Cambarus_jezerinaci,cambaridae,yes,,,,71.1,total.body.length,71.1,71.1,12.84866678,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Engaeus_lyelli,parastacidae,yes,,,,52.6,total.body.length,52.6,52.6,13.32833334,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Engaeus_karnanga,parastacidae,yes,,,,59.8,total.body.length,59.8,59.8,13.91666683,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Procambarus_mirandai,cambaridae,yes,,,,53.2,total.body.length,53.2,53.2,14.34600004,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Engaeus_merosetosus,parastacidae,yes,,,,56.3,total.body.length,56.3,56.3,14.36266653,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Geocharax_falcata,parastacidae,yes,,,,85,total.body.length,85,85,14.5193332,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Procambarus_acanthophorus,cambaridae,yes,,,,62.6,total.body.length,62.6,62.6,14.76299985,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Fallicambarus_tenuis,cambaridae,,,,,25.6,carapace.length,55.552,55.552,14.78000007,Semi-terrestrial/Aquatic,Hobbs 1950,"A new crayfish of the genus Procambarus from Oklahoma and Arkansas. (Decapoda, Astacidae)",
Engaeus_cunicularius,parastacidae,yes,,,,56.7,total.body.length,56.7,56.7,15.15933315,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Cherax_quinquecarinatus,parastacidae,yes,,,,148.1,total.body.length,148.1,148.1,15.39299989,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Procambarus_simulans,cambaridae,yes,,,,87.6,total.body.length,87.6,87.6,15.98300012,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Procambarus_hayi,cambaridae,yes,,47,24,70,carapace.length,141.4,141.4,16.00433322,Semi-terrestrial/Aquatic,"Payne 1971, 1972",The life history of Procambarus hayi,
Euastacus_armatus,parastacidae,yes,,,,500,total.body.length,500,500,16.18566696,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
Cherax_preissii,parastacidae,yes,,,,210,total.body.length,210,210,16.21300014,Semi-terrestrial/Aquatic,Richardson 2019,Body Size in Freshwater Crayfish: An Intercontinental Comparison,
