species,decimalLatitude,decimalLongitude,optional,tmean.avg,deleting.out.of.range
Astacoides betsileoensis,-20.99023025,47.17326304,TRUE,17.66133356,
Astacoides caldwelli,-19.12000908,47.57822655,TRUE,18.17800005,
Astacoides crosnieri,-21.61473515,47.3599912,TRUE,18.18733311,
Astacoides granulimanus,-21.47988443,47.17326304,TRUE,18.10299985,
Astacoides hobbsi,-20.62533472,47.55823647,TRUE,20.25766675,
Astacoides madagascarensis,-18.68919873,47.95308845,TRUE,18.50533311,
Astacoides petiti,-24.89630171,46.840625,TRUE,23.82800007,
Astacopsis franklinii,-42.0340768,147.2624419,TRUE,10.98533336,
Astacopsis gouldi,-41.48436528,146.3358178,TRUE,10.70233337,
Astacopsis tricornis,-43.24404971,146.630054,TRUE,8.777999957,
Astacus astacus,31.85578092,-5.553338909,TRUE,7.224666774,yes
Astacus astacus,49.31759035,16.48333333,TRUE,8.590000036,
Austropotamobius pallipes,46.62036716,7.424999999,TRUE,3.676000024,
Austropotamobius pallipes,53.53242507,-7.720862956,TRUE,9.464333336,yes
Austropotamobius torrentium,49.79778316,6.159524386,TRUE,9.168666691,9.3163333 average
Austropotamobius torrentium,44.55123838,17.13541667,TRUE,9.780999852,
Barbicambarus cornutus,37.63811736,-86.02264922,TRUE,13.11766668,
Bouchardina robisoni,33.33443892,-92.68646825,TRUE,17.24000033,
Cambarellus alvarezi,25.56490573,-100.8488134,TRUE,18.50299994,
Cambarellus areolatus,25.51846444,-102.1279341,TRUE,20.63966672,
Cambarellus blacki,30.77211871,-87.49316805,TRUE,18.96933349,
Cambarellus chapalanus,20.12509865,-102.825,TRUE,20.11133353,
Cambarellus chihuahuae,30.59290132,-106.6083333,TRUE,17.15266645,
Cambarellus diminutus,31.55504158,-88.69950386,TRUE,18.05399982,
Cambarellus lesliei,31.69143415,-88.14574613,TRUE,18.19733326,
Cambarellus montezumae,20.53948855,-101.3250805,TRUE,19.01733327,
Cambarellus ninae,28.64602594,-97.56280057,TRUE,21.30633322,
Cambarellus occidentalis,22.99880166,-104.8437034,TRUE,18.99700006,
Cambarellus patzcuarensis,19.59041895,-101.6456446,TRUE,16.70533331,
Cambarellus prolixus,20.1902771,-103.0519051,TRUE,19.79899987,
Cambarellus puer,33.18320705,-92.31678067,TRUE,17.06799976,
Cambarellus schmitti,29.98849548,-83.36458333,TRUE,19.95133352,
Cambarellus shufeldtii,33.27531992,-92.28223304,TRUE,17.12099969,
Cambarellus shufeldtii,32.71556929,-83.40867484,TRUE,17.64199996,yes
Cambarellus texanus,30.0608093,-96.43567408,TRUE,20.0756669,
Cambarellus zempoalensis,18.89929252,-99.20182141,TRUE,22.2736667,
Cambaroides dauricus,47.85112367,123.7823112,TRUE,2.846333504,
Cambaroides japonicus,43.39785307,142.5726396,TRUE,3.58633332,
Cambaroides schrenckii,47.20300874,135.0769458,TRUE,0.733666698,
Cambaroides similis,38.50898392,126.831234,TRUE,8.89533331,
Cambarus acanthura,33.59648753,-85.77995431,TRUE,16.34066681,
Cambarus aculabrum,36.02980338,-94.51471558,TRUE,14.53833326,
Cambarus acuminatus,36.08354321,-79.12054308,TRUE,14.47500012,
Cambarus asperimanus,34.89984148,-83.14063348,TRUE,13.64700003,
Cambarus bartonii,45.7841784,-77.72819421,TRUE,4.045333179,
Cambarus batchi,37.72927185,-84.07054969,TRUE,12.77666663,
Cambarus bouchardi,36.50044958,-84.62346344,TRUE,12.78400022,
Cambarus brachydactylus,36.0891353,-87.42236879,TRUE,13.87066671,
Cambarus brimleyorum,35.16069451,-83.88922739,TRUE,12.71666672,
Cambarus buntingi,36.595194,-83.89563914,TRUE,12.1836665,
Cambarus carinirostris,39.46719485,-79.88339044,TRUE,9.872333395,
Cambarus carolinus,35.73187785,-82.81875,TRUE,10.88566665,
Cambarus catagius,35.49911365,-79.85540006,TRUE,15.03333318,
Cambarus causeyi,35.54048631,-93.51458333,TRUE,15.16499988,
Cambarus chasmodactylus,37.30847203,-80.7666466,TRUE,10.4866667,
Cambarus chaugaensis,35.37121102,-83.22101,TRUE,12.62433344,
Cambarus clivosus,36.00674654,-86.23990998,TRUE,14.21233306,
Cambarus conasaugaensis,34.60919111,-84.19479167,TRUE,12.91166689,
Cambarus coosae,33.38156349,-85.67708333,TRUE,15.71533322,
Cambarus coosawattae,34.64488845,-84.7948393,TRUE,15.06333351,
Cambarus cracens,34.45223673,-86.44763302,TRUE,15.32133333,
Cambarus crinipes,36.96853077,-84.11458333,TRUE,12.96433348,
